3;1;3;9;
3;2;5;6;
8;3;4;9;
11;4;5;8;
12;5;4;2;
13;6;2;4;
13;7;3;8;
17;8;2;1;
18;9;4;10;
20;10;5;6;
23;11;1;3;
23;12;3;7;
25;13;4;10;
25;14;2;8;
29;15;5;4;
30;16;3;2;
40;17;1;7;
44;18;1;3;
47;19;3;1;
49;20;4;6;
52;21;3;1;
53;22;3;2;
57;23;5;7;
61;24;2;4;
65;25;2;9;
69;26;4;10;
70;27;3;6;
72;28;4;3;
73;29;5;7;
73;30;3;8;
73;31;5;4;
73;32;2;6;
76;33;2;5;
77;34;5;6;
79;35;2;7;
83;36;3;2;
83;37;4;6;
85;38;3;10;
86;39;4;8;
87;40;3;3;
89;41;3;10;
92;42;3;5;
93;43;2;6;
96;44;3;6;
99;45;3;5;
102;46;4;9;
107;47;5;9;
113;48;3;5;
114;49;4;6;
115;50;3;3;
116;51;4;3;
117;52;4;6;
118;53;3;4;
118;54;3;2;
119;55;3;7;
124;56;3;6;
124;57;1;9;
126;58;5;9;
126;59;2;4;
130;60;5;8;
130;61;2;9;
132;62;3;5;
132;63;1;7;
135;64;3;8;
135;65;3;4;
136;66;1;3;
137;67;3;5;
142;68;4;9;
142;69;2;4;
151;70;5;2;
154;71;1;4;
155;72;5;7;
156;73;4;9;
157;74;1;6;
163;75;4;5;
167;76;5;9;
167;77;2;5;
168;78;3;6;
172;79;2;4;
176;80;2;6;
177;81;3;10;
177;82;2;7;
177;83;2;1;
177;84;3;9;
182;85;3;8;
183;86;5;9;
184;87;5;9;
186;88;2;8;
186;89;2;2;
189;90;2;3;
192;91;2;1;
196;92;2;5;
198;93;4;7;
198;94;3;4;
200;95;3;8;
