1;1;5;8;
5;2;2;3;
6;3;2;8;
8;4;5;1;
8;5;2;4;
15;6;4;8;
15;7;1;4;
17;8;4;3;
21;9;4;1;
21;10;3;5;
21;11;2;9;
23;12;4;6;
24;13;2;8;
25;14;3;4;
25;15;1;7;
26;16;3;9;
27;17;4;7;
27;18;4;1;
30;19;3;3;
30;20;1;5;
33;21;4;9;
34;22;2;9;
35;23;1;5;
36;24;1;3;
38;25;3;5;
40;26;4;6;
42;27;4;7;
46;28;3;4;
47;29;1;5;
48;30;1;1;
54;31;4;8;
56;32;4;10;
57;33;2;2;
57;34;3;2;
58;35;4;2;
58;36;4;6;
62;37;4;9;
62;38;2;3;
63;39;2;6;
69;40;2;1;
70;41;4;5;
75;42;1;7;
75;43;2;9;
76;44;3;3;
76;45;3;3;
79;46;5;6;
80;47;2;9;
81;48;1;2;
84;49;2;9;
89;50;3;6;
90;51;1;8;
90;52;2;6;
93;53;5;4;
96;54;3;8;
98;55;1;9;
100;56;4;5;
103;57;2;6;
104;58;3;7;
107;59;2;5;
107;60;1;2;
109;61;4;3;
110;62;2;7;
111;63;4;5;
111;64;3;1;
119;65;3;6;
120;66;4;10;
128;67;3;5;
134;68;4;10;
134;69;1;7;
135;70;4;10;
137;71;5;9;
139;72;1;6;
139;73;5;6;
141;74;2;7;
143;75;3;9;
153;76;4;1;
154;77;4;4;
155;78;1;4;
156;79;1;8;
156;80;5;10;
158;81;5;1;
159;82;2;2;
162;83;1;9;
165;84;3;10;
165;85;1;2;
166;86;2;9;
170;87;2;9;
173;88;2;9;
173;89;4;9;
180;90;4;4;
184;91;1;1;
186;92;1;5;
187;93;4;6;
191;94;2;6;
195;95;2;3;
195;96;1;7;
196;97;3;9;
198;98;3;8;
198;99;2;4;
199;100;1;4;
199;101;2;8;
200;102;5;1;
